;data;Salário mínimo vigente;ano;mês;variação
189;1956.04;8,7273e-13;1956;04;0,0
190;1956.05;8,7273e-13;1956;05;0,0
191;1956.06;8,7273e-13;1956;06;0,0
192;1956.07;8,7273e-13;1956;07;0,0
193;1956.08;1,3818e-12;1956;08;0,5833075521638995
194;1956.09;1,3818e-12;1956;09;0,0
195;1956.10;1,3818e-12;1956;10;0,0
196;1956.11;1,3818e-12;1956;11;0,0
197;1956.12;1,3818e-12;1956;12;0,0
198;1957.01;1,3818e-12;1957;01;0,0
199;1957.02;1,3818e-12;1957;02;0,0
200;1957.03;1,3818e-12;1957;03;0,0
201;1957.04;1,3818e-12;1957;04;0,0
202;1957.05;1,3818e-12;1957;05;0,0
203;1957.06;1,3818e-12;1957;06;0,0
204;1957.07;1,3818e-12;1957;07;0,0
205;1957.08;1,3818e-12;1957;08;0,0
206;1957.09;1,3818e-12;1957;09;0,0
207;1957.10;1,3818e-12;1957;10;0,0
208;1957.11;1,3818e-12;1957;11;0,0
209;1957.12;1,3818e-12;1957;12;0,0
210;1958.01;1,3818e-12;1958;01;0,0
211;1958.02;1,3818e-12;1958;02;0,0
212;1958.03;1,3818e-12;1958;03;0,0
213;1958.04;1,3818e-12;1958;04;0,0
214;1958.05;1,3818e-12;1958;05;0,0
215;1958.06;1,3818e-12;1958;06;0,0
216;1958.07;1,3818e-12;1958;07;0,0
217;1958.08;1,3818e-12;1958;08;0,0
218;1958.09;1,3818e-12;1958;09;0,0
219;1958.10;1,3818e-12;1958;10;0,0
220;1958.11;1,3818e-12;1958;11;0,0
221;1958.12;1,3818e-12;1958;12;0,0
222;1959.01;2,1818e-12;1959;01;0,5789549862498189
223;1959.02;2,1818e-12;1959;02;0,0
224;1959.03;2,1818e-12;1959;03;0,0
225;1959.04;2,1818e-12;1959;04;0,0
226;1959.05;2,1818e-12;1959;05;0,0
227;1959.06;2,1818e-12;1959;06;0,0
228;1959.07;2,1818e-12;1959;07;0,0
229;1959.08;2,1818e-12;1959;08;0,0
230;1959.09;2,1818e-12;1959;09;0,0
231;1959.10;2,1818e-12;1959;10;0,0
232;1959.11;2,1818e-12;1959;11;0,0
233;1959.12;2,1818e-12;1959;12;0,0
234;1960.01;2,1818e-12;1960;01;0,0
235;1960.02;2,1818e-12;1960;02;0,0
236;1960.03;2,1818e-12;1960;03;0,0
237;1960.04;2,1818e-12;1960;04;0,0
238;1960.05;2,1818e-12;1960;05;0,0
239;1960.06;2,1818e-12;1960;06;0,0
240;1960.07;2,1818e-12;1960;07;0,0
241;1960.08;2,1818e-12;1960;08;0,0
242;1960.09;2,1818e-12;1960;09;0,0
243;1960.10;3,4909e-12;1960;10;0,6000091667430563
244;1960.11;3,4909e-12;1960;11;0,0
245;1960.12;3,4909e-12;1960;12;0,0
246;1961.01;3,4909e-12;1961;01;0,0
247;1961.02;3,4909e-12;1961;02;0,0
248;1961.03;3,4909e-12;1961;03;0,0
249;1961.04;3,4909e-12;1961;04;0,0
250;1961.05;3,4909e-12;1961;05;0,0
251;1961.06;3,4909e-12;1961;06;0,0
