;data;IBOVESPA fechamento mensal;ano;mês;variação
324;1995.02;-15,8095;1995;02;0,4679610388404505
325;1995.03;-8,9244;1995;03;-0,43550396913248357
326;1995.04;28,0238;1995;04;-4,140132669983416
327;1995.05;-2,4438;1995;05;-1,0872044476480704
328;1995.06;-3,1501;1995;06;0,2890171045093708
329;1995.07;7,6069;1995;07;-3,4148122281832323
330;1995.08;11,1699;1995;08;0,4683905401674795
331;1995.09;8,3424;1995;09;-0,25313565922702985
332;1995.10;-11,6015;1995;10;-2,390666954353663
333;1995.11;6,0606;1995;11;-1,522397965780287
334;1995.12;-1,8157;1995;12;-1,2995907995907996
335;1996.01;19,8302;1996;01;-11,921517871895137
336;1996.02;-3,762;1996;02;-1,1897106433621447
337;1996.03;-0,0565;1996;03;-0,9849813928761297
338;1996.04;4,2221;1996;04;-75,72743362831858
339;1996.05;10,9177;1996;05;1,585845906065702
340;1996.06;5,5151;1996;06;-0,49484781593192706
341;1996.07;1,3137;1996;07;-0,7617994234012075
342;1996.08;2,2243;1996;08;0,693156732891832
343;1996.09;2,9939;1996;09;0,34599649327878446
344;1996.10;1,3386;1996;10;-0,5528908781188416
345;1996.11;2,0343;1996;11;0,5197220977140296
346;1996.12;5,6091;1996;12;1,7572629405692375
347;1997.01;13,1351;1997;01;1,3417482305539212
348;1997.02;10,8493;1997;02;-0,17402227619127375
349;1997.03;2,4386;1997;03;-0,7752297383241316
350;1997.04;10,3715;1997;04;3,253055031575494
351;1997.05;13,6446;1997;05;0,31558598081280453
352;1997.06;10,781;1997;06;-0,20987057150814237
353;1997.07;2,427;1997;07;-0,7748817363880902
354;1997.08;-17,5808;1997;08;-8,243840131850021
355;1997.09;11,198;1997;09;-1,6369448489261011
356;1997.10;-23,8281;1997;10;-3,1278889087337025
357;1997.11;4,5404;1997;11;-1,1905481343455835
358;1997.12;8,5374;1997;12;0,8803189146330719
359;1998.01;-4,6685;1998;01;-1,546829245437721
360;1998.02;8,7449;1998;02;-2,8731712541501553
361;1998.03;13,018;1998;03;0,48863909249962845
362;1998.04;-2,2518;1998;04;-1,1729758795513903
363;1998.05;-15,6804;1998;05;5,963495869970691
364;1998.06;-1,7063;1998;06;-0,8911826228922731
365;1998.07;10,6324;1998;07;-7,231260622399344
366;1998.08;-39,5536;1998;08;-4,720100823896768
367;1998.09;1,8696;1998;09;-1,0472675053598155
